Grasp-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 5 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 
Move-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 8 5 3 3 3 3 3 2 3 3 3 3 2 2 3 2 3 2 1 2 
Pour-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 7 5 5 4 4 4 4 4 3 3 3 3 3 3 2 2 2 1 1 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 8 7 7 7 4 4 4 4 3 3 3 3 3 3 2 3 2 3 2 
