Grasp-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 5 6 5 11 7 6 7 6 6 8 8 5 5 6 6 5 8 10 6 10 
Move-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 9 8 7 8 8 9 10 8 7 7 8 8 11 9 8 8 9 7 6 
Pour-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 6 7 6 7 7 7 6 6 5 5 7 7 6 6 7 5 7 6 7 6 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 8 9 9 9 8 9 15 8 9 10 10 8 9 9 9 10 9 8 11 9 
