Grasp-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 4 4 5 6 7 4 6 7 5 5 5 7 6 7 4 6 4 7 4 7 
Move-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 7 7 7 8 8 8 7 8 8 8 8 8 8 8 8 7 7 8 7 7 
Pour-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 4 6 4 6 6 4 6 6 5 5 5 5 5 4 6 5 6 5 5 4 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 9 10 10 10 9 9 10 10 9 10 9 9 10 9 9 10 10 9 10 
