Grasp-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 2 3 3 2 2 2 3 2 3 2 2 2 2 2 2 2 2 1 2 1 
Move-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 3 4 4 2 3 2 2 3 3 3 2 3 2 2 3 3 1 3 3 2 
Pour-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 5 5 4 4 3 3 3 2 2 2 2 2 2 3 3 4 2 4 2 1 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 8 7 7 6 4 4 4 4 3 3 3 3 3 3 2 3 2 2 2 
