Grasp-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 6 5 6 4 5 4 5 5 4 5 5 5 5 6 5 5 4 5 5 4 
Move-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 7 7 7 7 7 7 7 7 7 7 5 7 7 7 7 4 7 7 7 7 
Pour-Bottle1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 6 4 5 5 5 4 5 6 5 4 5 4 4 5 4 4 5 5 5 5 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 10 9 10 8 10 9 9 10 8 8 9 8 9 10 9 10 10 9 9 8 
