Grasp-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 6 9 8 6 6 8 8 9 8 6 9 8 6 6 6 9 8 8 6 
Move-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 9 9 9 9 9 9 10 10 10 9 10 9 10 10 9 10 10 10 10 9 
Pour-Can1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 6 6 6 7 8 7 6 6 7 7 7 6 7 6 6 7 7 8 7 6 
Drink-Cup1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
 10 9 10 10 9 9 9 9 9 10 9 9 10 10 9 10 10 9 9 9 
